timestamp,F,P,H,heat_demand,heat_satisfaction,PHR,eta_e,eta_h,profit,revenue_elec,revenue_heat,fuel_cost,boiler_fuel,SMP
84,141.45907919615527,20.377742491096527,95.0,95.0,1.0,0.2145025525378582,0.14405397381980395,0.6715723058557984,-11020967.777559824,2265.801187585023,4275000.0,15298233.578747408,0.0,111.19
85,142.94812213506216,20.56651802185354,96.0,96.0,1.0,0.21423456272764105,0.14387399928501057,0.6715723058557984,-11136983.293261744,2284.3231566872723,4320000.0,15459267.616418432,0.0,111.07
86,135.50290744052768,19.664022461262856,91.0,91.0,1.0,0.21608815891497646,0.14511882315066493,0.6715723058557984,-10556897.023949891,2200.4041134153135,4095000.0,14654097.428063307,0.0,111.9
87,128.0576927459932,18.815973497114626,86.0,86.0,1.0,0.21879038950133287,0.14693356637649838,0.6715723058557984,-9976798.96494592,2128.2747622586353,3870000.0,13848927.23970818,0.0,113.11
88,129.54673568490009,19.299001839490085,87.0,87.0,1.0,0.22182760735046075,0.1489732777708236,0.6715723058557984,-10092752.120638639,2209.15674056643,3915000.0,14009961.277379205,0.0,114.47
89,129.54673568490009,19.405862776314184,87.0,87.0,1.0,0.2230558939806228,0.14979816105529337,0.6715723058557984,-10092729.215042673,2232.0623365316574,3915000.0,14009961.277379205,0.0,115.02
90,128.0576927459932,19.18280688233356,86.0,86.0,1.0,0.22305589398062278,0.14979816105529334,0.6715723058557984,-9976720.833260573,2206.4064476060057,3870000.0,13848927.23970818,0.0,115.02
91,129.54673568490009,19.409748628562333,87.0,87.0,1.0,0.22310055894899233,0.14982815681109227,0.6715723058557984,-10092728.379896976,2232.897482229811,3915000.0,14009961.277379205,0.0,115.04
92,134.0138645016208,20.07905030540931,90.0,90.0,1.0,0.22310055894899233,0.14982815681109227,0.6715723058557984,-10440753.496445147,2309.8939471342874,4050000.0,14493063.390392281,0.0,115.04
93,136.99195037943457,20.525251423307292,92.0,92.0,1.0,0.22310055894899233,0.14982815681109227,0.6715723058557984,-10672770.240810594,2361.224923737271,4139999.9999999995,14815131.465734331,0.0,115.04
94,116.14534923473802,17.205005082416893,78.0,78.0,1.0,0.22057698823611402,0.1481333966084544,0.6715723058557984,-9048695.11621104,1959.822128938108,3510000.0,12560654.938339978,0.0,113.91
95,111.67822041801732,16.404254403658392,75.0,75.0,1.0,0.21872339204877855,0.14688857274280004,0.6715723058557984,-8700697.832238935,1854.9930879656908,3375000.0,12077552.8253269,0.0,113.08
96,86.36449045660007,12.529227364820484,58.0,58.0,1.0,0.21602116146242215,0.14507382951696657,0.6715723058557984,-6728572.540254168,1401.6446653024675,2610000.0,9339974.18491947,0.0,111.87
97,87.85353339550696,12.010018481952109,59.0,59.0,1.0,0.20355963528732388,0.13670501364907345,0.6715723058557984,-6844731.677726048,1276.5448644466896,2655000.0,9501008.222590495,0.0,106.29
98,82.07625,10.898951817193188,55.12013646849697,41.0,1.0,0.1977308569151005,0.132790567517317,0.6715723058557984,-6394681.98809323,1130.0033244065899,2480406.1410823637,8876218.1325,0.0,103.68
99,82.07625,10.898951817193188,55.12013646849697,34.0,1.0,0.1977308569151005,0.132790567517317,0.6715723058557984,-6394681.98809323,1130.0033244065899,2480406.1410823637,8876218.1325,0.0,103.68
100,82.07625,10.898951817193188,55.12013646849697,31.0,1.0,0.1977308569151005,0.132790567517317,0.6715723058557984,-6394681.98809323,1130.0033244065899,2480406.1410823637,8876218.1325,0.0,103.68
101,82.07625,10.898951817193188,55.12013646849697,33.0,1.0,0.1977308569151005,0.132790567517317,0.6715723058557984,-6394681.98809323,1130.0033244065899,2480406.1410823637,8876218.1325,0.0,103.68
102,82.07625,10.898951817193188,55.12013646849697,51.0,1.0,0.1977308569151005,0.132790567517317,0.6715723058557984,-6394681.98809323,1130.0033244065899,2480406.1410823637,8876218.1325,0.0,103.68
103,99.76587690676214,13.738746085756103,67.0,67.0,1.0,0.20505591172770304,0.13770987146833658,0.6715723058557984,-7772811.027677367,1469.4962813324728,3015000.0,10789280.5239587,0.0,106.96
104,148.90429389068976,20.740082256710327,100.0,100.0,1.0,0.20740082256710327,0.13928464864777887,0.6715723058557984,-11601163.630817987,2240.1362845472827,4500000.0,16103403.767102534,0.0,108.01
105,166.77280915757254,24.10182426932962,112.0,112.0,1.0,0.21519485954758588,0.14451890803468692,0.6715723058557984,-12993124.865748808,2687.3534060302527,5040000.0,18035812.21915484,0.0,111.5
106,175.70706679101392,25.643340574326338,118.0,118.0,1.0,0.21731644554513846,0.14594370643513468,0.6715723058557984,-13689132.851533405,2883.5936475829967,5310000.0,19002016.44518099,0.0,112.45
107,181.6632385466415,26.512606356506893,122.0,122.0,1.0,0.21731644554513846,0.14594370643513468,0.6715723058557984,-14153171.253280304,2981.3425847892004,5490000.0,19646152.595865093,0.0,112.45
